Area: 1218, x: [98292, 50082], y: [98292, 51299]
Area: 3047491517, x: [98292, 50082], y: [24840, 8594]
Area: 3010939708, x: [98292, 50082], y: [25721, 8594]
Area: 3030751864, x: [98292, 50082], y: [25721, 8321]
Area: 2979050508, x: [98292, 50082], y: [26959, 8321]
Area: 3051454518, x: [98292, 50082], y: [26959, 7306]
Area: 3015864054, x: [98292, 50082], y: [27791, 7306]
Area: 3063382402, x: [98292, 50082], y: [27791, 6632]
Area: 3018758225, x: [98292, 50082], y: [28818, 6632]
Area: 3042588150, x: [98292, 50082], y: [28818, 6289]
Area: 2990560878, x: [98292, 50082], y: [30006, 6289]
Area: 3027230997, x: [98292, 50082], y: [30006, 5752]
Area: 2978688552, x: [98292, 50082], y: [31101, 5752]
Area: 2987826664, x: [98292, 50082], y: [31101, 5616]
Area: 2931931645, x: [98292, 50082], y: [32358, 5616]
Area: 2983229075, x: [98292, 50082], y: [32358, 4838]
Area: 2937848340, x: [98292, 50082], y: [33361, 4838]
Area: 2971093524, x: [98292, 50082], y: [33361, 4326]
Area: 2920120226, x: [98292, 50082], y: [34475, 4326]
Area: 2914504242, x: [98292, 50082], y: [34475, 4414]
Area: 2854814859, x: [98292, 50082], y: [35782, 4414]
Area: 2912262468, x: [98292, 50082], y: [35782, 3495]
Area: 2865814232, x: [98292, 50082], y: [36779, 3495]
Area: 2873318940, x: [98292, 50082], y: [36779, 3373]
Area: 2815725510, x: [98292, 50082], y: [38012, 3373]
Area: 2849362308, x: [98292, 50082], y: [38012, 2815]
Area: 2796280344, x: [98292, 50082], y: [39135, 2815]
Area: 2759306594, x: [98292, 50082], y: [39135, 3440]
Area: 2694985897, x: [98292, 50082], y: [40514, 3440]
Area: 2737222346, x: [98292, 50082], y: [40514, 2709]
Area: 2685442564, x: [98292, 50082], y: [41607, 2709]
Area: 2679263790, x: [98292, 50082], y: [41607, 2818]
Area: 2620324335, x: [98292, 50082], y: [42854, 2818]
Area: 2669997679, x: [98292, 50082], y: [42854, 1922]
Area: 2616731613, x: [98292, 50082], y: [43960, 1922]
Area: 2618796267, x: [98292, 50082], y: [43960, 1884]
Area: 2559559696, x: [98292, 50082], y: [45189, 1884]
Area: 2546071280, x: [98292, 50082], y: [45189, 2138]
Area: 2486235920, x: [98292, 50082], y: [46437, 2138]
Area: 2479702064, x: [98292, 50082], y: [46437, 2264]
Area: 2421219427, x: [98292, 50082], y: [47660, 2264]
Area: 2436814391, x: [98292, 50082], y: [47660, 1956]
Area: 2378869483, x: [98292, 50082], y: [48864, 1956]
Area: 2397504216, x: [98292, 50082], y: [48864, 1579]
Area: 2338426344, x: [98292, 50082], y: [50082, 1579]
Area: 2320250797, x: [98292, 50082], y: [50082, 1956]
Area: 2261680238, x: [98292, 50082], y: [51299, 1956]
Area: 2275167516, x: [98292, 50082], y: [51299, 1669]
Area: 2215424640, x: [98292, 50082], y: [52533, 1669]
Area: 2216019520, x: [98292, 50082], y: [52533, 1656]
Area: 2156405883, x: [98292, 50082], y: [53764, 1656]
Area: 2125547286, x: [98292, 50082], y: [53764, 2349]
Area: 2070032644, x: [98292, 50082], y: [54927, 2349]
Area: 2076797740, x: [98292, 50082], y: [54927, 2193]
Area: 2017222580, x: [98292, 50082], y: [56171, 2193]
Area: 1981461002, x: [98292, 50082], y: [56171, 3042]
Area: 1929527738, x: [98292, 50082], y: [57275, 3042]
Area: 1938551698, x: [98292, 50082], y: [57275, 2822]
Area: 1878861055, x: [98292, 50082], y: [58538, 2822]
Area: 1877429875, x: [98292, 50082], y: [58538, 2858]
Area: 1819201450, x: [98292, 50082], y: [59771, 2858]
Area: 1807798938, x: [98292, 50082], y: [59771, 3154]
Area: 1752281931, x: [98292, 50082], y: [60954, 3154]
Area: 1722448070, x: [98292, 50082], y: [60954, 3953]
Area: 1673919310, x: [98292, 50082], y: [62006, 3953]
Area: 1670980063, x: [98292, 50082], y: [62006, 4034]
Area: 1614293744, x: [98292, 50082], y: [63237, 4034]
Area: 1600692016, x: [98292, 50082], y: [63237, 4422]
Area: 1548273188, x: [98292, 50082], y: [64385, 4422]
Area: 1546611696, x: [98292, 50082], y: [64385, 4471]
Area: 1488958128, x: [98292, 50082], y: [65649, 4471]
Area: 1469959320, x: [98292, 50082], y: [65649, 5053]
Area: 1421146800, x: [98292, 50082], y: [66733, 5053]
Area: 1409501160, x: [98292, 50082], y: [66733, 5422]
Area: 1357649739, x: [98292, 50082], y: [67894, 5422]
Area: 1346158917, x: [98292, 50082], y: [67894, 5800]
Area: 1294702071, x: [98292, 50082], y: [69056, 5800]
Area: 1279703490, x: [98292, 50082], y: [69056, 6313]
Area: 1231293870, x: [98292, 50082], y: [70162, 6313]
Area: 1213402554, x: [98292, 50082], y: [70162, 6949]
Area: 1168284390, x: [98292, 50082], y: [71208, 6949]
Area: 1159292170, x: [98292, 50082], y: [71208, 7281]
Area: 1108015374, x: [98292, 50082], y: [72406, 7281]
Area: 1086347955, x: [98292, 50082], y: [72406, 8118]
Area: 1047194610, x: [98292, 50082], y: [73339, 8118]
Area: 1028229570, x: [98292, 50082], y: [73339, 8878]
Area: 988590360, x: [98292, 50082], y: [74301, 8878]
Area: 983024216, x: [98292, 50082], y: [74301, 9110]
Area: 930496830, x: [98292, 50082], y: [75583, 9110]
Area: 915735330, x: [98292, 50082], y: [75583, 9760]
Area: 874001025, x: [98292, 50082], y: [76618, 9760]
Area: 857051175, x: [98292, 50082], y: [76618, 10542]
Area: 819724471, x: [98292, 50082], y: [77562, 10542]
Area: 800714144, x: [98292, 50082], y: [77562, 11459]
Area: 768269984, x: [98292, 50082], y: [78402, 11459]
Area: 760711404, x: [98292, 50082], y: [78402, 11839]
Area: 713288844, x: [98292, 50082], y: [79642, 11839]
Area: 699263292, x: [98292, 50082], y: [79642, 12591]
Area: 663008528, x: [98292, 50082], y: [80609, 12591]
Area: 640443744, x: [98292, 50082], y: [80609, 13867]
Area: 621720072, x: [98292, 50082], y: [81126, 13867]
Area: 614647268, x: [98292, 50082], y: [81126, 14279]
Area: 569677444, x: [98292, 50082], y: [82382, 14279]
Area: 552636763, x: [98292, 50082], y: [82382, 15350]
Area: 529469852, x: [98292, 50082], y: [83049, 15350]
Area: 520475892, x: [98292, 50082], y: [83049, 15940]
Area: 481996731, x: [98292, 50082], y: [84176, 15940]
Area: 468867921, x: [98292, 50082], y: [84176, 16870]
Area: 442463586, x: [98292, 50082], y: [84971, 16870]
Area: 428981722, x: [98292, 50082], y: [84971, 17882]
Area: 406441022, x: [98292, 50082], y: [85671, 17882]
Area: 396924034, x: [98292, 50082], y: [85671, 18636]
Area: 365822951, x: [98292, 50082], y: [86660, 18636]
Area: 355492847, x: [98292, 50082], y: [86660, 19524]
Area: 329670492, x: [98292, 50082], y: [87505, 19524]
Area: 315451908, x: [98292, 50082], y: [87505, 20842]
Area: 306796572, x: [98292, 50082], y: [87801, 20842]
Area: 300375468, x: [98292, 50082], y: [87801, 21454]
Area: 265677120, x: [98292, 50082], y: [89013, 21454]
Area: 254726720, x: [98292, 50082], y: [89013, 22634]
Area: 242484466, x: [98292, 50082], y: [89459, 22634]
Area: 231159278, x: [98292, 50082], y: [89459, 23916]
Area: 224225023, x: [98292, 50082], y: [89724, 23916]
Area: 217721152, x: [98292, 50082], y: [89724, 24675]
Area: 190814080, x: [98292, 50082], y: [90783, 24675]
Area: 181832120, x: [98292, 50082], y: [90783, 25871]
Area: 172970528, x: [98292, 50082], y: [91149, 25871]
Area: 165876536, x: [98292, 50082], y: [91149, 26864]
Area: 149600017, x: [98292, 50082], y: [91850, 26864]
Area: 143910848, x: [98292, 50082], y: [91850, 27747]
Area: 123205376, x: [98292, 50082], y: [92777, 27747]
Area: 115808420, x: [98292, 50082], y: [92777, 29088]
Area: 115010610, x: [98292, 50082], y: [92815, 29088]
Area: 110863764, x: [98292, 50082], y: [92815, 29845]
Area: 85626978, x: [98292, 50082], y: [94062, 29845]
Area: 80655553, x: [98292, 50082], y: [94062, 31020]
Area: 73525991, x: [98292, 50082], y: [94436, 31020]
Area: 68720169, x: [98292, 50082], y: [94436, 32266]
Area: 65513109, x: [98292, 50082], y: [94616, 32266]
Area: 60972014, x: [98292, 50082], y: [94616, 33501]
Area: 58219402, x: [98292, 50082], y: [94782, 33501]
Area: 54715424, x: [98292, 50082], y: [94782, 34499]
Area: 41952128, x: [98292, 50082], y: [95601, 34499]
Area: 38538672, x: [98292, 50082], y: [95601, 35767]
Area: 38066244, x: [98292, 50082], y: [95634, 35767]
Area: 34880762, x: [98292, 50082], y: [95634, 36965]
Area: 32060392, x: [98292, 50082], y: [95849, 36965]
Area: 29479528, x: [98292, 50082], y: [95849, 38021]
Area: 20529524, x: [98292, 50082], y: [96591, 38021]
Area: 18590946, x: [98292, 50082], y: [96591, 39160]
Area: 13304214, x: [98292, 50082], y: [97075, 39160]
Area: 11719596, x: [98292, 50082], y: [97075, 40461]
Area: 14173206, x: [98292, 50082], y: [96820, 40461]
Area: 12504297, x: [98292, 50082], y: [96820, 41594]
Area: 7903259, x: [98292, 50082], y: [97362, 41594]
Area: 6816782, x: [98292, 50082], y: [97362, 42761]
Area: 3624390, x: [98292, 50082], y: [97798, 42761]
Area: 2980890, x: [98292, 50082], y: [97798, 44061]
Area: 6136418, x: [98292, 50082], y: [97274, 44061]
Area: 4903428, x: [98292, 50082], y: [97274, 45271]
Area: 4768692, x: [98292, 50082], y: [97302, 45271]
Area: 3609222, x: [98292, 50082], y: [97302, 46441]
Area: 1773654, x: [98292, 50082], y: [97806, 46441]
Area: 1178540, x: [98292, 50082], y: [97806, 47663]
Area: 1476200, x: [98292, 50082], y: [97683, 47663]
Area: 737490, x: [98292, 50082], y: [97683, 48874]
Area: 823329, x: [98292, 50082], y: [97612, 48874]
Area: 681, x: [98292, 50082], y: [97612, 50082]
Area: 1218, x: [98292, 51299], y: [98292, 50082]
Area: 252, x: [98292, 51299], y: [98041, 51299]
Area: 17143714, x: [98292, 51299], y: [1980, 51122]
Area: 17054002, x: [98292, 51299], y: [2484, 51122]
Area: 117270216, x: [98292, 51299], y: [2484, 50076]
Area: 4511664, x: [98292, 51299], y: [94607, 50076]
Area: 9535682, x: [98292, 51299], y: [94607, 48713]
Area: 248026038, x: [98292, 51299], y: [2419, 48713]
Area: 364129452, x: [98292, 51299], y: [2419, 47502]
Area: 364326948, x: [98292, 51299], y: [2367, 47502]
Area: 479150370, x: [98292, 51299], y: [2367, 46305]
Area: 478206315, x: [98292, 51299], y: [2556, 46305]
Area: 596537247, x: [98292, 51299], y: [2556, 45069]
Area: 598013994, x: [98292, 51299], y: [2319, 45069]
Area: 713278768, x: [98292, 51299], y: [2319, 43868]
Area: 711911280, x: [98292, 51299], y: [2503, 43868]
Area: 832989840, x: [98292, 51299], y: [2503, 42604]
Area: 835007312, x: [98292, 51299], y: [2271, 42604]
Area: 952730284, x: [98292, 51299], y: [2271, 41378]
Area: 951787694, x: [98292, 51299], y: [2366, 41378]
Area: 1060664839, x: [98292, 51299], y: [2366, 40243]
Area: 1054406577, x: [98292, 51299], y: [2932, 40243]
Area: 1157873262, x: [98292, 51299], y: [2932, 39158]
Area: 1149313152, x: [98292, 51299], y: [3637, 39158]
Area: 1259587392, x: [98292, 51299], y: [3637, 37993]
Area: 1255395687, x: [98292, 51299], y: [3952, 37993]
Area: 1377378600, x: [98292, 51299], y: [3952, 36700]
Area: 1379349600, x: [98292, 51299], y: [3817, 36700]
Area: 1492531848, x: [98292, 51299], y: [3817, 35502]
Area: 1488582348, x: [98292, 51299], y: [4067, 35502]
Area: 1591948270, x: [98292, 51299], y: [4067, 34405]
Area: 1582470175, x: [98292, 51299], y: [4628, 34405]
Area: 1692245555, x: [98292, 51299], y: [4628, 33233]
Area: 1686156976, x: [98292, 51299], y: [4965, 33233]
Area: 1780791568, x: [98292, 51299], y: [4965, 32219]
Area: 1766652547, x: [98292, 51299], y: [5706, 32219]
Area: 1882664058, x: [98292, 51299], y: [5706, 30966]
Area: 1879674960, x: [98292, 51299], y: [5853, 30966]
Area: 1963518040, x: [98292, 51299], y: [5853, 30059]
Area: 1943487777, x: [98292, 51299], y: [6796, 30059]
Area: 2061976392, x: [98292, 51299], y: [6796, 28764]
Area: 2059745328, x: [98292, 51299], y: [6895, 28764]
Area: 2170245510, x: [98292, 51299], y: [6895, 27555]
Area: 2162765835, x: [98292, 51299], y: [7210, 27555]
Area: 2256581325, x: [98292, 51299], y: [7210, 26525]
Area: 2240056400, x: [98292, 51299], y: [7877, 26525]
Area: 2304975088, x: [98292, 51299], y: [7877, 25807]
Area: 2274765883, x: [98292, 51299], y: [9062, 25807]
Area: 2398886204, x: [98292, 51299], y: [9062, 24416]
Area: 2397568888, x: [98292, 51299], y: [9111, 24416]
Area: 2497006818, x: [98292, 51299], y: [9111, 23301]
Area: 2482223346, x: [98292, 51299], y: [9639, 23301]
Area: 2553678470, x: [98292, 51299], y: [9639, 22495]
Area: 2525219130, x: [98292, 51299], y: [10627, 22495]
Area: 2634538632, x: [98292, 51299], y: [10627, 21248]
Area: 2623780016, x: [98292, 51299], y: [10985, 21248]
Area: 2692753336, x: [98292, 51299], y: [10985, 20458]
Area: 2662404808, x: [98292, 51299], y: [11969, 20458]
Area: 2714889800, x: [98292, 51299], y: [11969, 19850]
Area: 2677653000, x: [98292, 51299], y: [13153, 19850]
Area: 2790293220, x: [98292, 51299], y: [13153, 18527]
Area: 2780068044, x: [98292, 51299], y: [13465, 18527]
Area: 2843434560, x: [98292, 51299], y: [13465, 17780]
Area: 2810082160, x: [98292, 51299], y: [14460, 17780]
Area: 2897603812, x: [98292, 51299], y: [14460, 16736]
Area: 2874618752, x: [98292, 51299], y: [15125, 16736]
Area: 2926432416, x: [98292, 51299], y: [15125, 16113]
Area: 2887585968, x: [98292, 51299], y: [16229, 16113]
Area: 2948149200, x: [98292, 51299], y: [16229, 15375]
Area: 2913337875, x: [98292, 51299], y: [17198, 15375]
Area: 3019410135, x: [98292, 51299], y: [17198, 14067]
Area: 3002729751, x: [98292, 51299], y: [17646, 14067]
Area: 3072328112, x: [98292, 51299], y: [17646, 13204]
Area: 3039032208, x: [98292, 51299], y: [18520, 13204]
Area: 3073972782, x: [98292, 51299], y: [18520, 12766]
Area: 3026768632, x: [98292, 51299], y: [19745, 12766]
Area: 3110029512, x: [98292, 51299], y: [19745, 11706]
Area: 3081601020, x: [98292, 51299], y: [20463, 11706]
Area: 3099501920, x: [98292, 51299], y: [20463, 11476]
Area: 3045779344, x: [98292, 51299], y: [21812, 11476]
Area: 3135262114, x: [98292, 51299], y: [21812, 10306]
Area: 3108206074, x: [98292, 51299], y: [22472, 10306]
Area: 3146647321, x: [98292, 51299], y: [22472, 9799]
Area: 3099709690, x: [98292, 51299], y: [23603, 9799]
Area: 3123461110, x: [98292, 51299], y: [23603, 9481]
Area: 3071731007, x: [98292, 51299], y: [24840, 9481]
Area: 3136883818, x: [98292, 51299], y: [24840, 8594]
Area: 3099259832, x: [98292, 51299], y: [25721, 8594]
Area: 3119071988, x: [98292, 51299], y: [25721, 8321]
Area: 3065863986, x: [98292, 51299], y: [26959, 8321]
Area: 3138267996, x: [98292, 51299], y: [26959, 7306]
Area: 3101664988, x: [98292, 51299], y: [27791, 7306]
Area: 3149183336, x: [98292, 51299], y: [27791, 6632]
Area: 3103309300, x: [98292, 51299], y: [28818, 6632]
Area: 3127139225, x: [98292, 51299], y: [28818, 6289]
Area: 3073666157, x: [98292, 51299], y: [30006, 6289]
Area: 3110336276, x: [98292, 51299], y: [30006, 5752]
Area: 3060461216, x: [98292, 51299], y: [31101, 5752]
Area: 3069599328, x: [98292, 51299], y: [31101, 5616]
Area: 3012174540, x: [98292, 51299], y: [32358, 5616]
Area: 3063471970, x: [98292, 51299], y: [32358, 4838]
Area: 3016870584, x: [98292, 51299], y: [33361, 4838]
Area: 3050115768, x: [98292, 51299], y: [33361, 4326]
Area: 2997786732, x: [98292, 51299], y: [34475, 4326]
Area: 2992170748, x: [98292, 51299], y: [34475, 4414]
Area: 2930890746, x: [98292, 51299], y: [35782, 4414]
Area: 2988338355, x: [98292, 51299], y: [35782, 3495]
Area: 2940676770, x: [98292, 51299], y: [36779, 3495]
Area: 2948181478, x: [98292, 51299], y: [36779, 3373]
Area: 2889087487, x: [98292, 51299], y: [38012, 3373]
Area: 2922724285, x: [98292, 51299], y: [38012, 2815]
Area: 2868275630, x: [98292, 51299], y: [39135, 2815]
Area: 2831301880, x: [98292, 51299], y: [39135, 3440]
Area: 2765302940, x: [98292, 51299], y: [40514, 3440]
Area: 2807539389, x: [98292, 51299], y: [40514, 2709]
Area: 2754429426, x: [98292, 51299], y: [41607, 2709]
Area: 2748250652, x: [98292, 51299], y: [41607, 2818]
Area: 2687793598, x: [98292, 51299], y: [42854, 2818]
Area: 2737466942, x: [98292, 51299], y: [42854, 1922]
Area: 2682854874, x: [98292, 51299], y: [43960, 1922]
Area: 2684919528, x: [98292, 51299], y: [43960, 1884]
Area: 2624187264, x: [98292, 51299], y: [45189, 1884]
Area: 2610698848, x: [98292, 51299], y: [45189, 2138]
Area: 2549344672, x: [98292, 51299], y: [46437, 2138]
Area: 2542810816, x: [98292, 51299], y: [46437, 2264]
Area: 2482839788, x: [98292, 51299], y: [47660, 2264]
Area: 2498434752, x: [98292, 51299], y: [47660, 1956]
Area: 2439024576, x: [98292, 51299], y: [48864, 1956]
Area: 2457659309, x: [98292, 51299], y: [48864, 1579]
Area: 2397099131, x: [98292, 51299], y: [50082, 1579]
Area: 2378923584, x: [98292, 51299], y: [50082, 1956]
Area: 2318871936, x: [98292, 51299], y: [51299, 1956]
Area: 2332359214, x: [98292, 51299], y: [51299, 1669]
Area: 2271114560, x: [98292, 51299], y: [52533, 1669]
Area: 2271709440, x: [98292, 51299], y: [52533, 1656]
Area: 2210597676, x: [98292, 51299], y: [53764, 1656]
Area: 2179739079, x: [98292, 51299], y: [53764, 2349]
Area: 2122809066, x: [98292, 51299], y: [54927, 2349]
Area: 2129574162, x: [98292, 51299], y: [54927, 2193]
Area: 2068485054, x: [98292, 51299], y: [56171, 2193]
Area: 2032723476, x: [98292, 51299], y: [56171, 3042]
Area: 1979446644, x: [98292, 51299], y: [57275, 3042]
Area: 1988470604, x: [98292, 51299], y: [57275, 2822]
Area: 1927242890, x: [98292, 51299], y: [58538, 2822]
Area: 1925811710, x: [98292, 51299], y: [58538, 2858]
Area: 1866082724, x: [98292, 51299], y: [59771, 2858]
Area: 1854680212, x: [98292, 51299], y: [59771, 3154]
Area: 1797723494, x: [98292, 51299], y: [60954, 3154]
Area: 1767889633, x: [98292, 51299], y: [60954, 3953]
Area: 1718080589, x: [98292, 51299], y: [62006, 3953]
Area: 1715141342, x: [98292, 51299], y: [62006, 4034]
Area: 1656956896, x: [98292, 51299], y: [63237, 4034]
Area: 1643355168, x: [98292, 51299], y: [63237, 4422]
Area: 1589539224, x: [98292, 51299], y: [64385, 4422]
Area: 1587877732, x: [98292, 51299], y: [64385, 4471]
Area: 1528685876, x: [98292, 51299], y: [65649, 4471]
Area: 1509687068, x: [98292, 51299], y: [65649, 5053]
Area: 1459555320, x: [98292, 51299], y: [66733, 5053]
Area: 1447909680, x: [98292, 51299], y: [66733, 5422]
Area: 1394645322, x: [98292, 51299], y: [67894, 5422]
Area: 1383154500, x: [98292, 51299], y: [67894, 5800]
Area: 1330283500, x: [98292, 51299], y: [69056, 5800]
Area: 1315284919, x: [98292, 51299], y: [69056, 6313]
Area: 1265529297, x: [98292, 51299], y: [70162, 6313]
Area: 1247637981, x: [98292, 51299], y: [70162, 6949]
Area: 1201246835, x: [98292, 51299], y: [71208, 6949]
Area: 1192254615, x: [98292, 51299], y: [71208, 7281]
Area: 1139519853, x: [98292, 51299], y: [72406, 7281]
Area: 1117852434, x: [98292, 51299], y: [72406, 8118]
Area: 1077563628, x: [98292, 51299], y: [73339, 8118]
Area: 1058598588, x: [98292, 51299], y: [73339, 8878]
Area: 1017788624, x: [98292, 51299], y: [74301, 8878]
Area: 1012222480, x: [98292, 51299], y: [74301, 9110]
Area: 958134900, x: [98292, 51299], y: [75583, 9110]
Area: 943373400, x: [98292, 51299], y: [75583, 9760]
Area: 900379500, x: [98292, 51299], y: [76618, 9760]
Area: 883429650, x: [98292, 51299], y: [76618, 10542]
Area: 844954098, x: [98292, 51299], y: [77562, 10542]
Area: 825943771, x: [98292, 51299], y: [77562, 11459]
Area: 792477331, x: [98292, 51299], y: [78402, 11459]
Area: 784918751, x: [98292, 51299], y: [78402, 11839]
Area: 735987111, x: [98292, 51299], y: [79642, 11839]
Area: 721961559, x: [98292, 51299], y: [79642, 12591]
Area: 684529956, x: [98292, 51299], y: [80609, 12591]
Area: 661965172, x: [98292, 51299], y: [80609, 13867]
Area: 642612311, x: [98292, 51299], y: [81126, 13867]
Area: 635539507, x: [98292, 51299], y: [81126, 14279]
Area: 589041131, x: [98292, 51299], y: [82382, 14279]
Area: 572000450, x: [98292, 51299], y: [82382, 15350]
Area: 548021800, x: [98292, 51299], y: [83049, 15350]
Area: 539027840, x: [98292, 51299], y: [83049, 15940]
Area: 499177120, x: [98292, 51299], y: [84176, 15940]
Area: 486048310, x: [98292, 51299], y: [84176, 16870]
Area: 458676460, x: [98292, 51299], y: [84971, 16870]
Area: 445194596, x: [98292, 51299], y: [84971, 17882]
Area: 421801996, x: [98292, 51299], y: [85671, 17882]
Area: 412285008, x: [98292, 51299], y: [85671, 18636]
Area: 379980312, x: [98292, 51299], y: [86660, 18636]
Area: 369650208, x: [98292, 51299], y: [86660, 19524]
Area: 342799488, x: [98292, 51299], y: [87505, 19524]
Area: 328580904, x: [98292, 51299], y: [87505, 20842]
Area: 319565336, x: [98292, 51299], y: [87801, 20842]
Area: 313144232, x: [98292, 51299], y: [87801, 21454]
Area: 276970880, x: [98292, 51299], y: [89013, 21454]
Area: 266020480, x: [98292, 51299], y: [89013, 22634]
Area: 253235444, x: [98292, 51299], y: [89459, 22634]
Area: 241910256, x: [98292, 51299], y: [89459, 23916]
Area: 234653496, x: [98292, 51299], y: [89724, 23916]
Area: 228149625, x: [98292, 51299], y: [89724, 24675]
Area: 199953750, x: [98292, 51299], y: [90783, 24675]
Area: 190971790, x: [98292, 51299], y: [90783, 25871]
Area: 181664776, x: [98292, 51299], y: [91149, 25871]
Area: 174570784, x: [98292, 51299], y: [91149, 26864]
Area: 157441148, x: [98292, 51299], y: [91850, 26864]
Area: 151751979, x: [98292, 51299], y: [91850, 27747]
Area: 129918348, x: [98292, 51299], y: [92777, 27747]
Area: 122521392, x: [98292, 51299], y: [92777, 29088]
Area: 121677336, x: [98292, 51299], y: [92815, 29088]
Area: 117530490, x: [98292, 51299], y: [92815, 29845]
Area: 90776105, x: [98292, 51299], y: [94062, 29845]
